words,syllables,sentences,letters,avg_word_len,avg_word_syl,avg_sent_len,level
454,975,54,2296,5.057,2.138,8.407,upper_intermediate
406,764,49,1775,4.372,2.138,8.286,upper_intermediate
481,1018,40,2375,4.938,2.138,12.025,upper_intermediate
368,781,34,1815,4.932,2.138,10.824,upper_intermediate
407,854,47,2053,5.044,2.138,8.66,upper_intermediate
402,938,48,2215,5.51,2.138,8.375,upper_intermediate
431,928,65,2155,5.0,2.138,6.631,upper_intermediate
436,986,62,2301,5.278,2.138,7.032,upper_intermediate
418,901,61,2101,5.026,2.138,6.852,upper_intermediate
414,924,24,2091,5.051,2.138,17.25,upper_intermediate
442,954,31,2242,5.072,2.138,14.258,upper_intermediate
372,762,22,1817,4.884,2.138,16.909,upper_intermediate
624,1351,48,3109,4.982,2.138,13.0,upper_intermediate
530,1021,42,2380,4.491,2.138,12.619,upper_intermediate
362,751,70,1749,4.831,2.138,5.171,upper_intermediate
390,818,65,1912,4.903,2.138,6.0,upper_intermediate
340,716,62,1650,4.853,2.138,5.484,upper_intermediate
316,676,46,1600,5.063,2.138,6.87,upper_intermediate
237,531,30,1253,5.287,2.138,7.9,upper_intermediate
277,544,56,1231,4.444,2.138,4.946,upper_intermediate
336,562,104,1301,3.872,2.138,3.231,upper_intermediate
358,691,65,1561,4.36,2.138,5.508,upper_intermediate
379,981,33,2330,6.148,2.138,11.485,upper_intermediate
382,967,36,2282,5.974,2.138,10.611,upper_intermediate
332,825,31,1933,5.822,2.138,10.71,upper_intermediate
360,915,39,2123,5.897,2.138,9.231,upper_intermediate
394,969,38,2291,5.815,2.138,10.368,upper_intermediate
308,744,30,1746,5.669,2.138,10.267,upper_intermediate
369,987,33,2350,6.369,2.138,11.182,upper_intermediate
380,990,33,2342,6.163,2.138,11.515,upper_intermediate
419,1069,36,2593,6.189,2.138,11.639,upper_intermediate
326,856,37,2031,6.23,2.138,8.811,upper_intermediate
271,722,24,1708,6.303,2.138,11.292,upper_intermediate
296,758,41,1835,6.199,2.138,7.22,upper_intermediate
422,1092,53,2676,6.341,2.138,7.962,upper_intermediate
355,913,37,2189,6.166,2.138,9.595,upper_intermediate
329,901,40,2176,6.614,2.138,8.225,upper_intermediate
431,1016,55,2474,5.74,2.138,7.836,upper_intermediate
366,949,45,2241,6.123,2.138,8.133,upper_intermediate
495,1308,28,3017,6.095,2.343,17.679,advanced
365,959,28,2299,6.299,2.343,13.036,advanced
315,852,30,1992,6.324,2.343,10.5,advanced
326,854,23,2003,6.144,2.343,14.174,advanced
362,927,33,2224,6.144,2.343,10.97,advanced
349,905,41,2114,6.057,2.343,8.512,advanced
413,1016,38,2350,5.69,2.343,10.868,advanced
396,1008,19,2439,6.159,2.343,20.842,advanced
308,789,21,1810,5.877,2.343,14.667,advanced
310,791,25,1895,6.113,2.343,12.4,advanced
496,1193,47,2750,5.544,2.343,10.553,advanced
473,1195,37,2764,5.844,2.343,12.784,advanced
532,1273,59,2927,5.502,2.343,9.017,advanced
470,1284,38,2943,6.262,2.343,12.368,advanced
460,1242,40,2841,6.176,2.343,11.5,advanced
529,1288,35,2893,5.469,2.343,15.114,advanced
556,1435,39,3240,5.827,2.343,14.256,advanced
394,1034,31,2370,6.015,2.343,12.71,advanced
355,964,26,2234,6.293,2.343,13.654,advanced
433,1169,43,2669,6.164,2.343,10.07,advanced
413,1084,34,2524,6.111,2.343,12.147,advanced
486,1158,39,2751,5.66,2.343,12.462,advanced
449,1078,46,2499,5.566,2.343,9.761,advanced
359,845,32,1907,5.312,2.343,11.219,advanced
427,1033,33,2387,5.59,2.343,12.939,advanced
454,1187,31,2808,6.185,2.343,14.645,advanced
525,1351,47,3227,6.147,2.343,11.17,advanced
504,1264,39,2968,5.889,2.343,12.923,advanced
457,1172,33,2673,5.849,2.343,13.848,advanced
446,1200,43,2747,6.159,2.343,10.372,advanced
454,1096,36,2558,5.634,2.343,12.611,advanced
395,931,40,2228,5.641,2.343,9.875,advanced
368,972,38,2260,6.141,2.343,9.684,advanced
369,938,32,2215,6.003,2.343,11.531,advanced
409,1017,33,2410,5.892,2.343,12.394,advanced
465,1106,40,2638,5.673,2.343,11.625,advanced
354,898,32,2104,5.944,2.343,11.062,advanced
353,861,39,2010,5.694,2.343,9.051,advanced
408,1058,31,2443,5.988,2.343,13.161,advanced
352,904,32,2126,6.04,2.343,11.0,advanced
488,998,53,2277,4.666,2.343,9.208,advanced
503,1124,57,2680,5.328,2.343,8.825,advanced
500,1088,76,2437,4.874,2.343,6.579,advanced
406,897,69,2075,5.111,2.343,5.884,advanced
397,933,50,2216,5.582,2.343,7.94,advanced
501,1109,46,2570,5.13,2.343,10.891,advanced
484,1038,57,2395,4.948,2.343,8.491,advanced
411,806,31,1983,4.825,2.343,13.258,advanced
321,727,38,1670,5.202,2.343,8.447,advanced
617,1243,79,2903,4.705,2.343,7.81,advanced
367,841,15,1965,5.354,2.343,24.467,advanced
380,928,30,2147,5.65,2.343,12.667,advanced
347,729,34,1706,4.916,2.343,10.206,advanced
460,1090,36,2510,5.457,2.343,12.778,advanced
500,1268,43,2968,5.936,2.343,11.628,advanced
423,1058,41,2499,5.908,2.343,10.317,advanced
477,1256,43,3011,6.312,2.343,11.093,advanced
485,1227,44,2923,6.027,2.343,11.023,advanced
365,926,30,2251,6.167,2.343,12.167,advanced
423,1067,38,2501,5.913,2.343,11.132,advanced
465,1178,40,2720,5.849,2.343,11.625,advanced
461,1162,44,2742,5.948,2.343,10.477,advanced
420,1059,41,2528,6.019,2.343,10.244,advanced
429,1094,38,2526,5.888,2.343,11.289,advanced
468,1185,43,2744,5.863,2.343,10.884,advanced
380,932,37,2188,5.758,2.343,10.27,advanced
540,1312,45,3058,5.663,2.343,12.0,advanced
430,1104,27,2565,5.965,2.343,15.926,advanced
382,887,22,2051,5.369,2.343,17.364,advanced
400,937,23,2256,5.64,2.343,17.391,advanced
501,1075,59,2520,5.03,2.343,8.492,advanced
